Year,Month,Month_Num,Company,Metric_Type,Sub_Type,Value
2022,January,1,Aux Sable Canada Ltd.,Electricity (MWh),Purchased,2486.0
2022,February,2,Aux Sable Canada Ltd.,Electricity (MWh),Purchased,2155.1
2022,March,3,Aux Sable Canada Ltd.,Electricity (MWh),Purchased,2979.8
2022,April,4,Aux Sable Canada Ltd.,Electricity (MWh),Purchased,2674.0
2022,May,5,Aux Sable Canada Ltd.,Electricity (MWh),Purchased,3001.6
2022,June,6,Aux Sable Canada Ltd.,Electricity (MWh),Purchased,2885.4
2022,July,7,Aux Sable Canada Ltd.,Electricity (MWh),Purchased,2980.7
2022,August,8,Aux Sable Canada Ltd.,Electricity (MWh),Purchased,2923.3
2022,September,9,Aux Sable Canada Ltd.,Electricity (MWh),Purchased,2699.6
2022,October,10,Aux Sable Canada Ltd.,Electricity (MWh),Purchased,2951.3
2022,November,11,Aux Sable Canada Ltd.,Electricity (MWh),Purchased,2261.7
2022,December,12,Aux Sable Canada Ltd.,Electricity (MWh),Purchased,2352.6
2022,January,1,Aux Sable Canada Ltd.,Electricity (MWh),Generated,0.0
2022,February,2,Aux Sable Canada Ltd.,Electricity (MWh),Generated,0.0
2022,March,3,Aux Sable Canada Ltd.,Electricity (MWh),Generated,0.0
2022,April,4,Aux Sable Canada Ltd.,Electricity (MWh),Generated,0.0
2022,May,5,Aux Sable Canada Ltd.,Electricity (MWh),Generated,0.0
2022,June,6,Aux Sable Canada Ltd.,Electricity (MWh),Generated,0.0
2022,July,7,Aux Sable Canada Ltd.,Electricity (MWh),Generated,0.0
2022,August,8,Aux Sable Canada Ltd.,Electricity (MWh),Generated,0.0
2022,September,9,Aux Sable Canada Ltd.,Electricity (MWh),Generated,0.0
2022,October,10,Aux Sable Canada Ltd.,Electricity (MWh),Generated,0.0
2022,November,11,Aux Sable Canada Ltd.,Electricity (MWh),Generated,0.0
2022,December,12,Aux Sable Canada Ltd.,Electricity (MWh),Generated,0.0
